Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Culzean Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:57:52
Druridge Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Oct', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[4, 1, 'Mar', 0, None, None]",2019-12-06 11:57:52
Finstown Ouse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Oct', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[2, 2, 'Feb', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 1, 'Nov', 0, None, None]",2019-12-06 11:57:52
Foreland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[2, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,"[6, 1, 'Dec', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[2, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,"[12, 1, 'Jan', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[7, 1, 'Feb', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-06 11:57:52
Isle of Cumbrae,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[29, 1, 'Mar', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[13, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7, 2, 'Jan', 0, None, None]",nan,nan,nan,nan,"[3, 1, 'May', 0, None, None]","[2, 1, 'Apr', 0, None, None]",2019-12-06 11:57:52
Ladyburn Lake (Druridge Bay CP),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[7, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,"[2, 1, 'Feb', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[4, 1, 'Feb', 0, None, None]",2019-12-06 11:57:52
Leac Nan Geadh to Port Na Luinge (Oronsay),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[35, 1, 'Mar', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[1, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,"[13, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Jan', 0, None, None]",2019-12-06 11:57:52
Loch An Alltain Duibh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[2, 1, 'Feb', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Feb', 0, None, None]",2019-12-06 11:57:52
Loch An Eilein (Tiree),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,"[6, 1, 'Apr', 0, None, None]","[12, 1, 'Jul', 0, None, None]","[16, 1, 'Jun', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[17, 1, 'Jun', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[22, 1, 'Jun', 0, None, None]","[16, 1, 'Jun', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[29, 1, 'Jun', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[19, 1, 'Jun', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[2, 1, 'Apr', 0, None, None]",2019-12-06 11:57:52
Loch An Eisg-Brachaidh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Nov', 0, None, None]",nan,nan,"[5, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]",nan,"[8, 1, 'Feb', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-06 11:57:52
Loch Ardbhair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 2, 'Mar', 0, None, None]",nan,"[6, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]",nan,nan,"[5, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[3, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[4, 2, 'Feb', 0, None, None]",2019-12-06 11:57:52
Loch Nedd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]",nan,nan,nan,nan,"[1, 1, 'Feb', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 2, '', 0, None, None]",2019-12-06 11:57:52
Loch Reraig,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Mar', 0, None, None]","[7, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 1, '', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-06 11:57:52
Loch Roe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Feb', 0, None, None]","[3, 2, 'Feb', 0, None, None]","[5, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,"[2, 2, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[5, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2019-12-06 11:57:52
Loch na Faoileige,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Mar', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'May', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[4, 1, 'May', 0, None, None]","[3, 1, 'Apr', 0, None, None]",2019-12-06 11:57:52
Loch of Hundland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[0, 2, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[1, 2, 'Jan', 0, None, None]","[8, 1, 'Mar', 0, None, None]",2019-12-06 11:57:52
Loch of Spiggie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12, 1, 'Sep', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[1, 1, 'Sep', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[3, 1, 'May', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'May', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[6, 1, 'Mar', 0, None, None]",2019-12-06 11:57:52
Malltraeth Sands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[4, 1, 'Feb', 0, None, None]","[6, 1, 'Dec', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[9, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 2, 'Oct', 0, None, None]",nan,"[12, 1, 'Mar', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[3, 1, 'Jan', 0, None, None]",nan,nan,"[2, 2, 'Feb', 0, None, None]","[2, 2, 'Jun', 0, None, None]",2019-12-06 11:57:52
North Bay (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[1, 1, 'Sep', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[9, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-06 11:57:52
River Derwent - Bassenthwaite Lake to Isel Bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Mar', 0, None, None]",nan,nan,2019-12-06 11:57:52
River Forth - Stirling Bridge to Teith Confluence,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[17, 1, 'Nov', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[6, 2, 'Mar', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]",2019-12-06 11:57:52
River Tay - Haughs of Kercock,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Mar', 0, None, None]",nan,"[1, 1, 'Dec', 0, None, None]","[6, 1, 'May', 0, None, None]","[2, 1, 'May', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[9, 1, 'May', 0, None, None]","[5, 1, 'Jun', 0, None, None]","[10, 1, 'Aug', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[11, 1, 'Jun', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[10, 1, 'Jun', 0, None, None]","[5, 1, 'May', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[3, 1, 'May', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[8, 1, 'May', 0, None, None]",2019-12-06 11:57:52
Rough Firth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Mar', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[6, 2, 'Mar', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[5, 2, 'Feb', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[6, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']",nan,nan,"[7, 1, 'Dec', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[0, 2, '', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]",2019-12-06 11:57:52
